"Year","Project","Trip.No","Trip.Start.Date","Trip.End.Date","Location","Pot.No","Latitude.Decimal.Degrees","Longitude.Decimal.Degrees","Time.Hauled","Buoy.No","Depth.Fathoms","tidbit_id","temp"
2005,"Tanner Crab Survey",2,"10/20/2005 0:00","10/27/2005 0:00","Glacier Bay",45,58.62046667,-135.9934167,2005-10-25 11:51:00,"13",75,"7",7.098
2005,"Tanner Crab Survey",2,"10/20/2005 0:00","10/27/2005 0:00","Icy Strait",3,58.32573333,-135.7581333,2005-10-26 08:25:00,"13",60,"7",6.6175
2005,"Tanner Crab Survey",2,"10/20/2005 0:00","10/27/2005 0:00","Icy Strait",6,58.32221667,-135.7288167,2005-10-26 09:07:00,"19",66,"9",6.5175
2005,"Tanner Crab Survey",2,"10/20/2005 0:00","10/27/2005 0:00","Icy Strait",9,58.30778333,-135.7167833,2005-10-26 09:48:00,"3",74,"10",6.24
2005,"Tanner Crab Survey",2,"10/20/2005 0:00","10/27/2005 0:00","Icy Strait",12,58.30911667,-135.6849667,2005-10-26 10:24:00,"10",78,"11",6.2275
2005,"Tanner Crab Survey",2,"10/20/2005 0:00","10/27/2005 0:00","Icy Strait",21,58.33051667,-135.7209333,2005-10-26 11:57:00,"11",62,"5",6.608
2005,"Tanner Crab Survey",2,"10/20/2005 0:00","10/27/2005 0:00","Icy Strait",23,58.33996667,-135.80845,2005-10-27 08:02:00,"4",39,"5",7.23
2005,"Tanner Crab Survey",2,"10/20/2005 0:00","10/27/2005 0:00","Icy Strait",31,58.3408,-135.77755,2005-10-27 09:03:00,"10",39,"11",7.248
2005,"Tanner Crab Survey",2,"10/20/2005 0:00","10/27/2005 0:00","Icy Strait",34,58.33081667,-135.7393,2005-10-27 09:29:00,"3",52,"10",6.846
2005,"Tanner Crab Survey",2,"10/20/2005 0:00","10/27/2005 0:00","Icy Strait",37,58.34453333,-135.7274,2005-10-27 09:52:00,"19",47,"9",7.022
2005,"Tanner Crab Survey",2,"10/20/2005 0:00","10/27/2005 0:00","Icy Strait",40,58.35415,-135.7281667,2005-10-27 10:09:00,"13",30,"7",7.408
2005,"Tanner Crab Survey",2,"10/20/2005 0:00","10/27/2005 0:00","Stephens Passage",4,58.19176667,-134.4157667,2005-10-21 08:13:00,"7",25,"5",7.0725
2005,"Tanner Crab Survey",2,"10/20/2005 0:00","10/27/2005 0:00","Stephens Passage",7,58.19335,-134.3188833,2005-10-21 08:52:00,"13",30,"7",6.686
2005,"Tanner Crab Survey",2,"10/20/2005 0:00","10/27/2005 0:00","Stephens Passage",10,58.1947,-134.2321833,2005-10-21 09:30:00,"19",60,"9",5.706
2005,"Tanner Crab Survey",2,"10/20/2005 0:00","10/27/2005 0:00","Stephens Passage",13,58.17973333,-134.1689167,2005-10-21 10:11:00,"3",114,"10",5.69
2005,"Tanner Crab Survey",2,"10/20/2005 0:00","10/27/2005 0:00","Stephens Passage",16,58.1677,-134.2286167,2005-10-21 10:56:00,"12",56,"11",5.75
2005,"Tanner Crab Survey",2,"10/20/2005 0:00","10/27/2005 0:00","Stephens Passage",31,58.20453333,-134.69585,2005-10-22 10:10:00,"12",40,"11",6.372
2005,"Tanner Crab Survey",2,"10/20/2005 0:00","10/27/2005 0:00","Stephens Passage",34,58.23941667,-134.7020667,2005-10-22 10:52:00,"3",41,"10",6.32
2005,"Tanner Crab Survey",2,"10/20/2005 0:00","10/27/2005 0:00","Stephens Passage",37,58.24881667,-134.6611833,2005-10-22 11:41:00,"19",30,"9",6.742
2005,"Tanner Crab Survey",2,"10/20/2005 0:00","10/27/2005 0:00","Stephens Passage",40,58.28465,-134.7078167,2005-10-22 12:15:00,"13",38,"7",6.532
2005,"Tanner Crab Survey",2,"10/20/2005 0:00","10/27/2005 0:00","Stephens Passage",43,58.27993333,-134.7465833,2005-10-22 12:52:00,"7",29,"5",6.995
2006,"Red King Crab Survey",1,"6/5/2006 0:00","6/13/2006 0:00","Barlow Cove",1,58.32411667,-134.8794833,2006-06-08 08:05:00,"12",24,"1",5.43285714285714
2006,"Red King Crab Survey",1,"6/5/2006 0:00","6/13/2006 0:00","Barlow Cove",2,58.32448333,-134.8814,2006-06-08 08:19:00,"22",22,"2",5.418
2006,"Red King Crab Survey",1,"6/5/2006 0:00","6/13/2006 0:00","Barlow Cove",3,58.3285,-134.8825167,2006-06-08 08:32:00,"15",39,"3",5.11466666666667
2006,"Red King Crab Survey",1,"6/5/2006 0:00","6/13/2006 0:00","Barlow Cove",5,58.33315,-134.8900667,2006-06-08 09:00:00,"21",22,"5",5.40333333333333
2006,"Red King Crab Survey",1,"6/5/2006 0:00","6/13/2006 0:00","Barlow Cove",6,58.33658333,-134.8848333,2006-06-08 09:14:00,"18",53,"8",4.99
2006,"Red King Crab Survey",1,"6/5/2006 0:00","6/13/2006 0:00","Barlow Cove",7,58.34756667,-134.8915,2006-06-08 09:25:00,"10",69,"7",4.98
2006,"Red King Crab Survey",1,"6/5/2006 0:00","6/13/2006 0:00","Barlow Cove",9,58.3575,-134.8914333,2006-06-08 09:44:00,"11",83,"11",5.14
2006,"Red King Crab Survey",1,"6/5/2006 0:00","6/13/2006 0:00","Barlow Cove",10,58.35795,-134.8953167,2006-06-08 09:56:00,"26",83,"12",5.150625
2006,"Red King Crab Survey",1,"6/5/2006 0:00","6/13/2006 0:00","Barlow Cove",11,58.35946667,-134.8951,2006-06-08 10:04:00,"17",86,"14",5.115
2006,"Red King Crab Survey",1,"6/5/2006 0:00","6/13/2006 0:00","Barlow Cove",12,58.36508333,-134.9018667,2006-06-08 10:13:00,"9",76,"15",5.15
2006,"Red King Crab Survey",1,"6/5/2006 0:00","6/13/2006 0:00","Barlow Cove",13,58.36495,-134.8996333,2006-06-08 10:22:00,"6",87,"16",5.039375
2006,"Red King Crab Survey",1,"6/5/2006 0:00","6/13/2006 0:00","Barlow Cove",14,58.36756667,-134.8965333,2006-06-08 10:32:00,"1",88,"6",5.16375
2006,"Red King Crab Survey",1,"6/5/2006 0:00","6/13/2006 0:00","Barlow Cove",15,58.36758333,-134.9007,2006-06-08 10:45:00,"24",90,"18",5.03
2006,"Red King Crab Survey",1,"6/5/2006 0:00","6/13/2006 0:00","Barlow Cove",16,58.36941667,-134.9030167,2006-06-08 10:50:00,"19",85,"13",5.12588235294118
2006,"Red King Crab Survey",1,"6/5/2006 0:00","6/13/2006 0:00","Barlow Cove",17,58.37076667,-134.90305,2006-06-08 11:02:00,"3",88,"19",5.13294117647059
2006,"Red King Crab Survey",1,"6/5/2006 0:00","6/13/2006 0:00","Barlow Cove",18,58.37986667,-134.9096167,2006-06-08 11:12:00,"4",90,"20",5.12117647058824
2006,"Red King Crab Survey",1,"6/5/2006 0:00","6/13/2006 0:00","Barlow Cove",19,58.38128333,-134.9093667,2006-06-08 11:22:00,"2",90,"23",5.17411764705882
2006,"Red King Crab Survey",1,"6/5/2006 0:00","6/13/2006 0:00","Barlow Cove",20,58.38256667,-134.9079667,2006-06-08 11:33:00,"13",105,"22",5.20117647058824
2006,"Red King Crab Survey",1,"6/5/2006 0:00","6/13/2006 0:00","Barlow Cove",21,58.3955,-134.9217333,2006-06-08 11:50:00,"25",93,"24",5.16882352941176
2006,"Red King Crab Survey",1,"6/5/2006 0:00","6/13/2006 0:00","Barlow Cove",22,58.3964,-134.9258167,2006-06-08 12:01:00,"5",58,"25",4.97882352941176
2006,"Red King Crab Survey",1,"6/5/2006 0:00","6/13/2006 0:00","Barlow Cove",24,58.39898333,-134.9233667,2006-06-08 12:16:00,"29",102,"9",5.3
2006,"Red King Crab Survey",1,"6/5/2006 0:00","6/13/2006 0:00","Juneau",1,58.37853333,-134.6699,2006-06-07 08:05:00,"5",24,"25",4.82
2006,"Red King Crab Survey",1,"6/5/2006 0:00","6/13/2006 0:00","Juneau",2,58.37911667,-134.6784,2006-06-07 08:15:00,"23",23,"24",4.68
2006,"Red King Crab Survey",1,"6/5/2006 0:00","6/13/2006 0:00","Juneau",3,58.38008333,-134.6808833,2006-06-07 08:26:00,"13",20,"22",4.74
2006,"Red King Crab Survey",1,"6/5/2006 0:00","6/13/2006 0:00","Juneau",4,58.37738333,-134.6825,2006-06-07 08:37:00,"2",23,"23",4.77
2006,"Red King Crab Survey",1,"6/5/2006 0:00","6/13/2006 0:00","Juneau",5,58.37645,-134.6745333,2006-06-07 08:52:00,"4",26,"20",4.67
2006,"Red King Crab Survey",1,"6/5/2006 0:00","6/13/2006 0:00","Juneau",6,58.374,-134.6618333,2006-06-07 09:04:00,"3",26,"19",4.71
2006,"Red King Crab Survey",1,"6/5/2006 0:00","6/13/2006 0:00","Juneau",7,58.36495,-134.6519,2006-06-07 09:17:00,"19",26,"13",4.86
2006,"Red King Crab Survey",1,"6/5/2006 0:00","6/13/2006 0:00","Juneau",8,58.36838333,-134.6763333,2006-06-07 09:33:00,"24",30,"18",4.75
2006,"Red King Crab Survey",1,"6/5/2006 0:00","6/13/2006 0:00","Juneau",9,58.3675,-134.6723333,2006-06-07 09:45:00,"1",30,"6",4.91
2006,"Red King Crab Survey",1,"6/5/2006 0:00","6/13/2006 0:00","Juneau",10,58.36418333,-134.6723833,2006-06-07 10:01:00,"6",30,"16",4.76
2006,"Red King Crab Survey",1,"6/5/2006 0:00","6/13/2006 0:00","Juneau",11,58.3634,-134.6753833,2006-06-07 10:11:00,"9",31,"15",4.89
2006,"Red King Crab Survey",1,"6/5/2006 0:00","6/13/2006 0:00","Juneau",12,58.34555,-134.6877,2006-06-07 10:25:00,"17",50,"14",4.79428571428571
2006,"Red King Crab Survey",1,"6/5/2006 0:00","6/13/2006 0:00","Juneau",13,58.33775,-134.6402667,2006-06-07 10:57:00,"26",16,"12",5.098
2006,"Red King Crab Survey",1,"6/5/2006 0:00","6/13/2006 0:00","Juneau",14,58.3278,-134.6269,2006-06-07 11:17:00,"11",37,"11",4.78
2006,"Red King Crab Survey",1,"6/5/2006 0:00","6/13/2006 0:00","Juneau",16,58.3343,-134.6938667,2006-06-07 11:52:00,"10",38,"7",4.77
2006,"Red King Crab Survey",1,"6/5/2006 0:00","6/13/2006 0:00","Juneau",17,58.33445,-134.7152333,2006-06-07 12:08:00,"18",45,"8",4.83
2006,"Red King Crab Survey",1,"6/5/2006 0:00","6/13/2006 0:00","Juneau",18,58.33838333,-134.71125,2006-06-07 12:25:00,"21",48,"5",4.8525
2006,"Red King Crab Survey",1,"6/5/2006 0:00","6/13/2006 0:00","Juneau",20,58.34796667,-134.7315,2006-06-07 12:58:00,"15",49,"3",4.89
2006,"Red King Crab Survey",1,"6/5/2006 0:00","6/13/2006 0:00","Juneau",21,58.35023333,-134.7113,2006-06-07 13:15:00,"22",39,"2",4.75
2006,"Red King Crab Survey",1,"6/5/2006 0:00","6/13/2006 0:00","Juneau",22,58.3698,-134.7145,2006-06-07 13:34:00,"12",29,"1",4.81
2006,"Red King Crab Survey",1,"6/5/2006 0:00","6/13/2006 0:00","Juneau",23,58.43421667,-134.7941333,2006-06-09 07:51:00,"29",51,"9",4.83
2006,"Red King Crab Survey",1,"6/5/2006 0:00","6/13/2006 0:00","Juneau",25,58.4558,-134.7981833,2006-06-09 08:15:00,"5",56,"25",4.82
2006,"Red King Crab Survey",1,"6/5/2006 0:00","6/13/2006 0:00","Juneau",26,58.47355,-134.79735,2006-06-09 08:29:00,"23",65,"24",4.68882352941176
2006,"Red King Crab Survey",1,"6/5/2006 0:00","6/13/2006 0:00","Juneau",27,58.48086667,-134.8093667,2006-06-09 08:41:00,"13",68,"22",4.74
2006,"Red King Crab Survey",1,"6/5/2006 0:00","6/13/2006 0:00","Juneau",28,58.49211667,-134.8283,2006-06-09 08:55:00,"2",59,"23",4.77
2006,"Red King Crab Survey",1,"6/5/2006 0:00","6/13/2006 0:00","Juneau",29,58.50471667,-134.8219,2006-06-09 09:07:00,"4",36,"20",4.98
2006,"Red King Crab Survey",1,"6/5/2006 0:00","6/13/2006 0:00","Juneau",30,58.5112,-134.8582333,2006-06-09 09:21:00,"3",38,"19",4.90529411764706
2006,"Red King Crab Survey",1,"6/5/2006 0:00","6/13/2006 0:00","Juneau",31,58.52631667,-134.87565,2006-06-09 09:40:00,"19",33,"13",5.07833333333333
2006,"Red King Crab Survey",1,"6/5/2006 0:00","6/13/2006 0:00","Juneau",32,58.53686667,-134.8681333,2006-06-09 09:51:00,"24",50,"18",4.80333333333333
2006,"Red King Crab Survey",1,"6/5/2006 0:00","6/13/2006 0:00","Juneau",33,58.56155,-134.8808,2006-06-09 10:12:00,"25",61,"6",4.83941176470588
2006,"Red King Crab Survey",1,"6/5/2006 0:00","6/13/2006 0:00","Juneau",34,58.56606667,-134.8852,2006-06-09 10:23:00,"1",60,"16",4.76
2006,"Red King Crab Survey",1,"6/5/2006 0:00","6/13/2006 0:00","Juneau",35,58.59,-134.9097333,2006-06-09 10:43:00,"6",67,"15",4.88166666666667
2006,"Red King Crab Survey",1,"6/5/2006 0:00","6/13/2006 0:00","Juneau",36,58.5817,-134.91315,2006-06-09 10:52:00,"9",60,"14",4.76333333333333
2006,"Red King Crab Survey",1,"6/5/2006 0:00","6/13/2006 0:00","Juneau",37,58.5277,-134.90735,2006-06-09 11:23:00,"17",76,"12",4.91222222222222
2006,"Red King Crab Survey",1,"6/5/2006 0:00","6/13/2006 0:00","Juneau",38,58.52591667,-134.9188667,2006-06-09 11:35:00,"26",100,"11",5.25
2006,"Red King Crab Survey",1,"6/5/2006 0:00","6/13/2006 0:00","Juneau",40,58.49663333,-134.8450167,2006-06-09 12:48:00,"10",58,"7",4.77
2006,"Red King Crab Survey",1,"6/5/2006 0:00","6/13/2006 0:00","Juneau",41,58.47643333,-134.81785,2006-06-09 13:07:00,"18",70,"8",4.83
2006,"Red King Crab Survey",1,"6/5/2006 0:00","6/13/2006 0:00","Juneau",42,58.46971667,-134.8156833,2006-06-09 13:18:00,"21",62,"5",4.74
2006,"Red King Crab Survey",1,"6/5/2006 0:00","6/13/2006 0:00","Juneau",44,58.45635,-134.8668,2006-06-09 13:47:00,"15",50,"3",4.8978947368421
2006,"Red King Crab Survey",1,"6/5/2006 0:00","6/13/2006 0:00","Juneau",45,58.45181667,-134.8613167,2006-06-09 13:57:00,"22",53,"2",4.85789473684211
2006,"Red King Crab Survey",1,"6/5/2006 0:00","6/13/2006 0:00","Juneau",46,58.41701667,-134.82055,2006-06-10 07:52:00,"22",30,"2",5.18
2006,"Red King Crab Survey",1,"6/5/2006 0:00","6/13/2006 0:00","Juneau",47,58.41071667,-134.8090167,2006-06-10 08:03:00,"15",61,"3",4.89
2006,"Red King Crab Survey",1,"6/5/2006 0:00","6/13/2006 0:00","Juneau",49,58.37575,-134.7972167,2006-06-10 08:35:00,"21",49,"5",4.843125
2006,"Red King Crab Survey",1,"6/5/2006 0:00","6/13/2006 0:00","Juneau",50,58.3696,-134.78105,2006-06-10 08:44:00,"18",49,"8",4.91
2006,"Red King Crab Survey",1,"6/5/2006 0:00","6/13/2006 0:00","Juneau",51,58.36946667,-134.7791333,2006-06-10 08:54:00,"10",49,"7",4.86
2006,"Red King Crab Survey",1,"6/5/2006 0:00","6/13/2006 0:00","Juneau",53,58.36068333,-134.7456167,2006-06-10 09:19:00,"26",46,"11",4.93
2006,"Red King Crab Survey",1,"6/5/2006 0:00","6/13/2006 0:00","Juneau",54,58.3576,-134.7370333,2006-06-10 09:32:00,"17",51,"12",4.85
2006,"Red King Crab Survey",1,"6/5/2006 0:00","6/13/2006 0:00","Juneau",55,58.35605,-134.7375833,2006-06-10 09:45:00,"9",52,"14",4.88
2006,"Red King Crab Survey",1,"6/5/2006 0:00","6/13/2006 0:00","Juneau",56,58.3549,-134.7404833,2006-06-10 09:57:00,"6",52,"15",4.89
2006,"Red King Crab Survey",1,"6/5/2006 0:00","6/13/2006 0:00","Juneau",57,58.35986667,-134.7561833,2006-06-10 10:16:00,"1",37,"16",4.80705882352941
2006,"Red King Crab Survey",1,"6/5/2006 0:00","6/13/2006 0:00","Juneau",58,58.36236667,-134.76485,2006-06-10 10:25:00,"25",53,"6",4.91
2006,"Red King Crab Survey",1,"6/5/2006 0:00","6/13/2006 0:00","Juneau",59,58.35495,-134.76665,2006-06-10 10:36:00,"24",57,"18",4.75
2006,"Red King Crab Survey",1,"6/5/2006 0:00","6/13/2006 0:00","Juneau",60,58.36238333,-134.7878833,2006-06-10 10:50:00,"19",46,"13",4.95411764705882
2006,"Red King Crab Survey",1,"6/5/2006 0:00","6/13/2006 0:00","Juneau",61,58.3564,-134.78965,2006-06-10 10:59:00,"3",46,"19",5.00333333333333
2006,"Red King Crab Survey",1,"6/5/2006 0:00","6/13/2006 0:00","Juneau",62,58.36611667,-134.8228333,2006-06-10 11:18:00,"4",13,"20",5.82235294117647
2006,"Red King Crab Survey",1,"6/5/2006 0:00","6/13/2006 0:00","Juneau",63,58.34675,-134.7801333,2006-06-10 12:38:00,"2",55,"21",4.9
2006,"Red King Crab Survey",1,"6/5/2006 0:00","6/13/2006 0:00","Juneau",64,58.34353333,-134.7762167,2006-06-10 12:47:00,"13",61,"22",4.89
2006,"Red King Crab Survey",1,"6/5/2006 0:00","6/13/2006 0:00","Juneau",65,58.3355,-134.76885,2006-06-10 13:05:00,"23",61,"24",4.84684210526316
2006,"Red King Crab Survey",1,"6/5/2006 0:00","6/13/2006 0:00","Juneau",66,58.33148333,-134.7607667,2006-06-10 13:18:00,"5",58,"25",4.90684210526316
2006,"Red King Crab Survey",1,"6/5/2006 0:00","6/13/2006 0:00","Juneau",68,58.31158333,-134.7797833,2006-06-10 13:56:00,"29",53,"9",4.98
2006,"Red King Crab Survey",1,"6/5/2006 0:00","6/13/2006 0:00","Juneau",69,58.30496667,-134.7131833,2006-06-11 08:05:00,"29",61,"9",4.83
2006,"Red King Crab Survey",1,"6/5/2006 0:00","6/13/2006 0:00","Juneau",70,58.30698333,-134.7328333,2006-06-11 08:19:00,"5",54,"25",4.866875
2006,"Red King Crab Survey",1,"6/5/2006 0:00","6/13/2006 0:00","Juneau",71,58.31211667,-134.73765,2006-06-11 08:31:00,"23",55,"24",4.83
2006,"Red King Crab Survey",1,"6/5/2006 0:00","6/13/2006 0:00","Juneau",72,58.3084,-134.7433333,2006-06-11 08:43:00,"13",53,"22",4.880625
2006,"Red King Crab Survey",1,"6/5/2006 0:00","6/13/2006 0:00","Juneau",73,58.28318333,-134.7484333,2006-06-11 09:03:00,"2",30,"21",5.13058823529412
2006,"Red King Crab Survey",1,"6/5/2006 0:00","6/13/2006 0:00","Juneau",74,58.28856667,-134.7050333,2006-06-11 09:22:00,"4",65,"20",4.82
2006,"Red King Crab Survey",1,"6/5/2006 0:00","6/13/2006 0:00","Juneau",75,58.28291667,-134.7188,2006-06-11 09:33:00,"3",43,"19",5.02
2006,"Red King Crab Survey",1,"6/5/2006 0:00","6/13/2006 0:00","Juneau",76,58.28071667,-134.7124333,2006-06-11 09:41:00,"19",41,"13",4.96352941176471
2006,"Red King Crab Survey",1,"6/5/2006 0:00","6/13/2006 0:00","Juneau",77,58.27055,-134.6918,2006-06-11 09:54:00,"24",47,"18",4.76882352941176
2006,"Red King Crab Survey",1,"6/5/2006 0:00","6/13/2006 0:00","Juneau",78,58.24763333,-134.7079333,2006-06-11 10:12:00,"25",40,"6",5.07
2006,"Red King Crab Survey",1,"6/5/2006 0:00","6/13/2006 0:00","Juneau",79,58.2395,-134.7100167,2006-06-11 10:22:00,"1",38,"16",4.92941176470588
2006,"Red King Crab Survey",1,"6/5/2006 0:00","6/13/2006 0:00","Juneau",81,58.20955,-134.6880667,2006-06-11 10:51:00,"9",40,"14",4.88
2006,"Red King Crab Survey",1,"6/5/2006 0:00","6/13/2006 0:00","Juneau",82,58.19708333,-134.69665,2006-06-11 11:06:00,"17",27,"12",5.04529411764706
2006,"Red King Crab Survey",1,"6/5/2006 0:00","6/13/2006 0:00","Juneau",83,58.2112,-134.6710833,2006-06-11 11:26:00,"26",37,"11",4.93
2006,"Red King Crab Survey",1,"6/5/2006 0:00","6/13/2006 0:00","Juneau",85,58.21796667,-134.6682667,2006-06-11 11:48:00,"10",38,"7",4.93
2006,"Red King Crab Survey",1,"6/5/2006 0:00","6/13/2006 0:00","Juneau",86,58.22178333,-134.6628667,2006-06-11 12:47:00,"18",38,"8",4.99
2006,"Red King Crab Survey",1,"6/5/2006 0:00","6/13/2006 0:00","Juneau",87,58.22698333,-134.6669,2006-06-11 12:56:00,"15",38,"5",4.91666666666667
2006,"Red King Crab Survey",1,"6/5/2006 0:00","6/13/2006 0:00","Juneau",89,58.21518333,-134.6400833,2006-06-11 13:19:00,"7",35,"3",5.02421052631579
2006,"Red King Crab Survey",1,"6/5/2006 0:00","6/13/2006 0:00","Juneau",90,58.2233,-134.6289833,2006-06-11 13:31:00,"22",33,"2",5.0178947368421
2006,"Red King Crab Survey",1,"6/5/2006 0:00","6/13/2006 0:00","Juneau",91,58.23868333,-134.6191833,2006-06-11 13:43:00,"12",23,"1",4.97
2006,"Red King Crab Survey",1,"6/5/2006 0:00","6/13/2006 0:00","Juneau",92,58.2392,-134.6568,2006-06-11 14:01:00,"16",32,"29",4.87736842105263
2006,"Red King Crab Survey",1,"6/5/2006 0:00","6/13/2006 0:00","Juneau",93,58.1867,-134.6172,2006-06-12 07:47:00,"16",29,"29",4.951875
2006,"Red King Crab Survey",1,"6/5/2006 0:00","6/13/2006 0:00","Juneau",94,58.18673333,-134.6236667,2006-06-12 08:00:00,"12",30,"1",5
2006,"Red King Crab Survey",1,"6/5/2006 0:00","6/13/2006 0:00","Juneau",95,58.18246667,-134.6259667,2006-06-12 08:12:00,"22",28,"2",4.93
2006,"Red King Crab Survey",1,"6/5/2006 0:00","6/13/2006 0:00","Juneau",96,58.17651667,-134.6270667,2006-06-12 08:24:00,"7",21,"3",5.17
