"Species","Sex","Carapace_Width","Chela_Height","Shell_Condition","PCR_Result","Year","Latitude","Longitude","Depth","Bottom_Temp","Julian_Day","Location"
"Chionoecetes opilio",1,65,11,2,0,2015,61.99972,-175.15626,81,-1,200,"NS"
"Chionoecetes opilio",1,52,8,2,0,2015,61.99972,-175.15626,81,-1,200,"NS"
"Chionoecetes opilio",1,61,11,2,0,2015,61.99972,-175.15626,81,-1,200,"NS"
"Chionoecetes opilio",1,55,10,2,0,2015,61.99972,-175.15626,81,-1,200,"NS"
"Chionoecetes opilio",1,72,13,2,0,2015,61.99972,-175.15626,81,-1,200,"NS"
"Chionoecetes opilio",1,60,9,2,0,2015,61.99972,-175.15626,81,-1,200,"NS"
"Chionoecetes opilio",1,64,13,3,0,2015,61.99972,-175.15626,81,-1,200,"NS"
"Chionoecetes opilio",1,56,9,2,0,2015,61.99972,-175.15626,81,-1,200,"NS"
"Chionoecetes opilio",1,59,12,3,0,2015,61.99972,-175.15626,81,-1,200,"NS"
"Chionoecetes opilio",1,59,13,3,0,2015,61.99972,-175.15626,81,-1,200,"NS"
"Chionoecetes opilio",1,70,12,2,0,2015,61.99944,-175.79466,90,-0.4,200,"NS"
"Chionoecetes opilio",1,55,9,2,1,2015,61.99944,-175.79466,90,-0.4,200,"NS"
"Chionoecetes opilio",1,60,7,2,0,2015,61.99944,-175.79466,90,-0.4,200,"NS"
"Chionoecetes opilio",1,62,8,2,0,2015,61.99944,-175.79466,90,-0.4,200,"NS"
"Chionoecetes opilio",1,58,10,2,0,2015,61.99944,-175.79466,90,-0.4,200,"NS"
"Chionoecetes opilio",1,53,9,2,0,2015,61.99944,-175.79466,90,-0.4,200,"NS"
"Chionoecetes opilio",1,67,12,2,0,2015,61.99944,-175.79466,90,-0.4,200,"NS"
"Chionoecetes opilio",1,56,10,2,0,2015,61.99944,-175.79466,90,-0.4,200,"NS"
"Chionoecetes opilio",1,56,9,2,0,2015,61.99944,-175.79466,90,-0.4,200,"NS"
"Chionoecetes opilio",1,57,9,2,0,2015,61.99944,-175.79466,90,-0.4,200,"NS"
"Chionoecetes opilio",1,65,10,2,1,2015,61.99944,-175.79466,90,-0.4,200,"NS"
"Chionoecetes opilio",1,61,10,2,1,2015,61.99944,-175.79466,90,-0.4,200,"NS"
"Chionoecetes opilio",1,65,14,2,0,2015,61.99944,-175.79466,90,-0.4,200,"NS"
"Chionoecetes opilio",1,57,10,2,0,2015,61.99944,-175.79466,90,-0.4,200,"NS"
"Chionoecetes opilio",1,60,10,2,0,2015,61.99944,-175.79466,90,-0.4,200,"NS"
"Chionoecetes opilio",1,63,10,2,0,2015,61.99944,-175.79466,90,-0.4,200,"NS"
"Chionoecetes opilio",1,91,16,2,0,2015,61.99944,-175.79466,90,-0.4,200,"NS"
"Chionoecetes opilio",1,64,11,2,0,2015,61.99944,-175.79466,90,-0.4,200,"NS"
"Chionoecetes opilio",1,57,9,2,0,2015,61.99944,-175.79466,90,-0.4,200,"NS"
"Chionoecetes opilio",1,86,15,2,0,2015,61.67717,-176.46749,105,0.7,200,"NS"
"Chionoecetes opilio",1,70,13,2,0,2015,61.67717,-176.46749,105,0.7,200,"NS"
"Chionoecetes opilio",1,77,13,2,0,2015,61.67717,-176.46749,105,0.7,200,"NS"
"Chionoecetes opilio",1,83,18,2,0,2015,61.67717,-176.46749,105,0.7,200,"NS"
"Chionoecetes opilio",1,86,15,2,0,2015,61.67717,-176.46749,105,0.7,200,"NS"
"Chionoecetes opilio",1,77,13,2,0,2015,61.67717,-176.46749,105,0.7,200,"NS"
"Chionoecetes opilio",1,65,11,2,0,2015,61.67717,-176.46749,105,0.7,200,"NS"
"Chionoecetes opilio",1,61,10,2,0,2015,61.67717,-176.46749,105,0.7,200,"NS"
"Chionoecetes opilio",1,86,19,2,0,2015,61.67717,-176.46749,105,0.7,200,"NS"
"Chionoecetes opilio",1,58,11,2,0,2015,61.67717,-176.46749,105,0.7,200,"NS"
"Chionoecetes opilio",1,61,12,3,0,2015,61.67717,-176.46749,105,0.7,200,"NS"
"Chionoecetes opilio",1,79,14,2,0,2015,61.67717,-176.46749,105,0.7,200,"NS"
"Chionoecetes opilio",1,80,15,2,0,2015,61.67717,-176.46749,105,0.7,200,"NS"
"Chionoecetes opilio",1,92,17,2,0,2015,61.67717,-176.46749,105,0.7,200,"NS"
"Chionoecetes opilio",1,78,15,2,0,2015,61.67717,-176.46749,105,0.7,200,"NS"
"Chionoecetes opilio",1,78,14,2,1,2015,61.67717,-176.46749,105,0.7,200,"NS"
"Chionoecetes opilio",1,69,11,2,0,2015,61.67717,-176.46749,105,0.7,200,"NS"
"Chionoecetes opilio",1,61,10,2,0,2015,61.67717,-176.46749,105,0.7,200,"NS"
"Chionoecetes opilio",1,74,12,3,0,2015,61.67717,-176.46749,105,0.7,200,"NS"
"Chionoecetes opilio",1,65,14,2,0,2015,61.67717,-176.46749,105,0.7,200,"NS"
"Chionoecetes opilio",1,57,9,2,0,2015,61.67717,-176.46749,105,0.7,200,"NS"
"Chionoecetes opilio",1,60,10,2,0,2015,61.67717,-176.46749,105,0.7,200,"NS"
"Chionoecetes opilio",1,68,12,2,0,2015,61.67717,-176.46749,105,0.7,200,"NS"
"Chionoecetes opilio",1,63,11,2,0,2015,61.67717,-176.46749,105,0.7,200,"NS"
"Chionoecetes opilio",1,65,11,2,0,2015,61.67717,-176.46749,105,0.7,200,"NS"
"Chionoecetes opilio",1,61,11,2,0,2015,61.67717,-176.46749,105,0.7,200,"NS"
"Chionoecetes opilio",1,67,11,2,0,2015,61.67717,-176.46749,105,0.7,200,"NS"
"Chionoecetes opilio",1,59,12,2,0,2015,61.67717,-176.46749,105,0.7,200,"NS"
"Chionoecetes opilio",1,90,20,2,0,2015,61.67717,-176.46749,105,0.7,200,"NS"
"Chionoecetes opilio",1,81,13,2,0,2015,61.67717,-176.46749,105,0.7,200,"NS"
"Chionoecetes opilio",1,86,20,3,0,2015,61.67717,-176.46749,105,0.7,200,"NS"
"Chionoecetes opilio",1,72,12,2,0,2015,61.67717,-176.46749,105,0.7,200,"NS"
"Chionoecetes opilio",1,56,9,2,0,2015,61.67717,-176.46749,105,0.7,200,"NS"
"Chionoecetes opilio",1,68,11,2,0,2015,61.67717,-176.46749,105,0.7,200,"NS"
"Chionoecetes opilio",1,90,16,2,0,2015,61.67717,-176.46749,105,0.7,200,"NS"
"Chionoecetes opilio",1,52,8,2,0,2015,61.67717,-176.46749,105,0.7,200,"NS"
"Chionoecetes opilio",1,87,20,2,0,2015,61.67717,-176.46749,105,0.7,200,"NS"
"Chionoecetes opilio",1,74,17,2,0,2015,61.67717,-176.46749,105,0.7,200,"NS"
"Chionoecetes opilio",1,83,20,2,1,2015,61.67717,-176.46749,105,0.7,200,"NS"
"Chionoecetes opilio",1,82,19,2,0,2015,61.67717,-176.46749,105,0.7,200,"NS"
"Chionoecetes opilio",1,53,8,2,0,2015,61.67717,-176.46749,105,0.7,200,"NS"
"Chionoecetes opilio",1,82,15,2,0,2015,61.67717,-176.46749,105,0.7,200,"NS"
"Chionoecetes opilio",1,75,16,2,0,2015,61.6843,-175.79024,96,-0.6,201,"NS"
"Chionoecetes opilio",1,74,13,2,0,2015,61.6843,-175.79024,96,-0.6,201,"NS"
"Chionoecetes opilio",1,63,11,2,0,2015,61.6843,-175.79024,96,-0.6,201,"NS"
"Chionoecetes opilio",1,72,15,3,0,2015,61.6843,-175.79024,96,-0.6,201,"NS"
"Chionoecetes opilio",1,68,11,2,0,2015,61.6843,-175.79024,96,-0.6,201,"NS"
"Chionoecetes opilio",1,65,11,2,0,2015,61.6843,-175.79024,96,-0.6,201,"NS"
"Chionoecetes opilio",1,61,12,2,0,2015,61.6843,-175.79024,96,-0.6,201,"NS"
"Chionoecetes opilio",1,64,12,2,0,2015,61.6843,-175.79024,96,-0.6,201,"NS"
"Chionoecetes opilio",1,56,9,2,0,2015,61.6843,-175.79024,96,-0.6,201,"NS"
"Chionoecetes opilio",1,58,11,2,0,2015,61.6843,-175.79024,96,-0.6,201,"NS"
"Chionoecetes opilio",1,59,10,2,0,2015,61.6843,-175.79024,96,-0.6,201,"NS"
"Chionoecetes opilio",1,57,9,2,0,2015,61.6843,-175.79024,96,-0.6,201,"NS"
"Chionoecetes opilio",1,63,10,2,0,2015,61.6843,-175.79024,96,-0.6,201,"NS"
"Chionoecetes opilio",1,61,9,2,0,2015,61.6843,-175.79024,96,-0.6,201,"NS"
"Chionoecetes opilio",1,60,11,2,0,2015,61.6843,-175.79024,96,-0.6,201,"NS"
"Chionoecetes opilio",1,63,11,2,0,2015,61.6843,-175.79024,96,-0.6,201,"NS"
"Chionoecetes opilio",1,59,10,2,0,2015,61.6843,-175.79024,96,-0.6,201,"NS"
"Chionoecetes opilio",1,59,7,2,1,2015,61.6843,-175.79024,96,-0.6,201,"NS"
"Chionoecetes opilio",1,54,9,2,0,2015,61.6843,-175.79024,96,-0.6,201,"NS"
"Chionoecetes opilio",1,53,9,2,0,2015,61.6843,-175.79024,96,-0.6,201,"NS"
"Chionoecetes opilio",1,58,9,2,0,2015,61.6843,-175.79024,96,-0.6,201,"NS"
"Chionoecetes opilio",1,62,10,2,0,2015,61.6843,-175.79024,96,-0.6,201,"NS"
"Chionoecetes opilio",1,68,12,2,0,2015,61.35294,-175.6602,96,-0.6,201,"NS"
"Chionoecetes opilio",1,71,15,2,1,2015,61.35294,-175.6602,96,-0.6,201,"NS"
"Chionoecetes opilio",1,72,13,2,0,2015,61.35294,-175.6602,96,-0.6,201,"NS"
"Chionoecetes opilio",1,63,10,2,0,2015,61.35294,-175.6602,96,-0.6,201,"NS"
"Chionoecetes opilio",1,75,17,2,0,2015,61.35294,-175.6602,96,-0.6,201,"NS"
"Chionoecetes opilio",1,78,13,2,0,2015,61.35294,-175.6602,96,-0.6,201,"NS"
"Chionoecetes opilio",1,69,12,2,0,2015,61.35294,-175.6602,96,-0.6,201,"NS"
"Chionoecetes opilio",1,63,11,2,0,2015,61.35294,-175.6602,96,-0.6,201,"NS"
"Chionoecetes opilio",1,63,12,2,0,2015,61.35294,-175.6602,96,-0.6,201,"NS"
"Chionoecetes opilio",1,69,12,2,1,2015,61.35294,-175.6602,96,-0.6,201,"NS"
"Chionoecetes opilio",1,60,11,2,0,2015,61.35294,-175.6602,96,-0.6,201,"NS"
"Chionoecetes opilio",1,60,9,2,0,2015,61.35294,-175.6602,96,-0.6,201,"NS"
"Chionoecetes opilio",1,65,12,2,0,2015,61.35294,-175.6602,96,-0.6,201,"NS"
"Chionoecetes opilio",1,66,11,2,0,2015,61.35294,-175.6602,96,-0.6,201,"NS"
"Chionoecetes opilio",1,61,12,2,0,2015,61.35294,-175.6602,96,-0.6,201,"NS"
"Chionoecetes opilio",1,73,12,2,0,2015,61.35294,-175.6602,96,-0.6,201,"NS"
"Chionoecetes opilio",1,62,11,2,0,2015,61.35294,-175.6602,96,-0.6,201,"NS"
"Chionoecetes opilio",1,68,14,2,0,2015,61.35294,-175.6602,96,-0.6,201,"NS"
"Chionoecetes opilio",1,62,10,2,1,2015,61.35294,-175.6602,96,-0.6,201,"NS"
"Chionoecetes opilio",1,76,13,2,0,2015,61.35294,-175.6602,96,-0.6,201,"NS"
"Chionoecetes opilio",1,70,11,2,0,2015,61.31705,-176.29111,107,1.1,201,"NS"
"Chionoecetes opilio",1,71,13,2,0,2015,61.31705,-176.29111,107,1.1,201,"NS"
"Chionoecetes opilio",1,75,13,2,0,2015,61.31705,-176.29111,107,1.1,201,"NS"
"Chionoecetes opilio",1,75,13,2,1,2015,61.31705,-176.29111,107,1.1,201,"NS"
"Chionoecetes opilio",1,84,14,2,0,2015,61.31705,-176.29111,107,1.1,201,"NS"
"Chionoecetes opilio",1,80,15,2,0,2015,61.31705,-176.29111,107,1.1,201,"NS"
"Chionoecetes opilio",1,89,17,2,0,2015,61.31705,-176.29111,107,1.1,201,"NS"
"Chionoecetes opilio",1,67,12,2,0,2015,61.31705,-176.29111,107,1.1,201,"NS"
"Chionoecetes opilio",1,72,13,2,0,2015,61.31705,-176.29111,107,1.1,201,"NS"
"Chionoecetes opilio",1,63,10,2,1,2015,61.31705,-176.29111,107,1.1,201,"NS"
"Chionoecetes opilio",1,78,17,2,0,2015,61.31705,-176.29111,107,1.1,201,"NS"
"Chionoecetes opilio",1,68,12,2,0,2015,61.31705,-176.29111,107,1.1,201,"NS"
"Chionoecetes opilio",1,72,13,2,1,2015,61.31705,-176.29111,107,1.1,201,"NS"
"Chionoecetes opilio",1,70,15,2,0,2015,61.31705,-176.29111,107,1.1,201,"NS"
"Chionoecetes opilio",1,75,15,2,0,2015,61.31705,-176.29111,107,1.1,201,"NS"
"Chionoecetes opilio",1,89,19,2,0,2015,61.31705,-176.29111,107,1.1,201,"NS"
"Chionoecetes opilio",1,80,14,2,0,2015,61.31705,-176.29111,107,1.1,201,"NS"
"Chionoecetes opilio",1,72,13,2,0,2015,61.31705,-176.29111,107,1.1,201,"NS"
"Chionoecetes opilio",1,80,14,2,0,2015,61.31705,-176.29111,107,1.1,201,"NS"
"Chionoecetes opilio",1,67,12,2,0,2015,61.31705,-176.29111,107,1.1,201,"NS"
"Chionoecetes opilio",1,83,15,2,0,2015,61.31705,-176.29111,107,1.1,201,"NS"
"Chionoecetes opilio",1,76,14,2,0,2015,61.31705,-176.29111,107,1.1,201,"NS"
"Chionoecetes opilio",1,77,14,2,0,2015,61.31705,-176.29111,107,1.1,201,"NS"
"Chionoecetes opilio",1,67,12,2,0,2015,61.31705,-176.29111,107,1.1,201,"NS"
"Chionoecetes opilio",1,78,14,2,0,2015,61.31705,-176.29111,107,1.1,201,"NS"
"Chionoecetes opilio",1,74,15,2,1,2015,61.31705,-176.29111,107,1.1,201,"NS"
"Chionoecetes opilio",1,83,15,2,0,2015,61.31705,-176.29111,107,1.1,201,"NS"
"Chionoecetes opilio",1,71,11,2,0,2015,61.31705,-176.29111,107,1.1,201,"NS"
"Chionoecetes opilio",1,81,14,2,0,2015,61.31705,-176.29111,107,1.1,201,"NS"
"Chionoecetes opilio",1,77,12,2,0,2015,61.31705,-176.29111,107,1.1,201,"NS"
"Chionoecetes opilio",1,74,14,2,0,2015,61.31705,-176.29111,107,1.1,201,"NS"
"Chionoecetes opilio",1,79,14,2,0,2015,61.31705,-176.29111,107,1.1,201,"NS"
"Chionoecetes opilio",1,80,14,2,0,2015,61.31705,-176.29111,107,1.1,201,"NS"
"Chionoecetes opilio",1,75,12,2,0,2015,61.31705,-176.29111,107,1.1,201,"NS"
"Chionoecetes opilio",1,94,17,2,0,2015,61.3491,-176.96986,116,1.3,201,"NS"
"Chionoecetes opilio",1,74,16,2,0,2015,61.3491,-176.96986,116,1.3,201,"NS"
"Chionoecetes opilio",1,90,17,2,0,2015,61.3491,-176.96986,116,1.3,201,"NS"
"Chionoecetes opilio",1,78,14,2,0,2015,61.3491,-176.96986,116,1.3,201,"NS"
"Chionoecetes opilio",1,90,16,2,0,2015,61.3491,-176.96986,116,1.3,201,"NS"
"Chionoecetes bairdi",1,97,17,3,0,2015,58.99552,-176.92728,136,3.4,208,"SS"
"Chionoecetes bairdi",1,107,20,2,0,2015,58.99552,-176.92728,136,3.4,208,"SS"
"Chionoecetes bairdi",1,59,7,2,0,2015,58.99552,-176.92728,136,3.4,208,"SS"
"Chionoecetes bairdi",1,93,16,2,0,2015,58.99552,-176.92728,136,3.4,208,"SS"
"Chionoecetes bairdi",1,76,10,2,0,2015,58.99552,-176.92728,136,3.4,208,"SS"
"Chionoecetes bairdi",1,101,18,2,0,2015,58.99552,-176.92728,136,3.4,208,"SS"
"Chionoecetes bairdi",1,54,6,2,1,2015,58.67052,-176.88926,136,3.3,208,"SS"
"Chionoecetes bairdi",1,93,16,2,0,2015,58.67052,-176.88926,136,3.3,208,"SS"
"Chionoecetes bairdi",1,109,23,3,0,2015,56.64779,-162.77401,73,4.3,158,"BB"
"Chionoecetes bairdi",1,110,25,3,0,2015,56.64779,-162.77401,73,4.3,158,"BB"
"Chionoecetes bairdi",1,100,20,3,0,2015,56.64779,-162.77401,73,4.3,158,"BB"
"Chionoecetes bairdi",1,109,23,3,0,2015,55.985,-164.03867,90,4.6,163,"BB"
"Chionoecetes bairdi",1,109,22,3,0,2015,55.985,-164.03867,90,4.6,163,"BB"
"Chionoecetes bairdi",1,87,17,3,0,2015,55.985,-164.03867,90,4.6,163,"BB"
"Chionoecetes bairdi",1,108,22,3,0,2015,55.985,-164.03867,90,4.6,163,"BB"
"Chionoecetes bairdi",1,112,22,3,0,2015,55.985,-164.03867,90,4.6,163,"BB"
"Chionoecetes bairdi",1,102,20,3,0,2015,56.00239,-164.56741,93,4.7,163,"BB"
"Chionoecetes bairdi",1,109,22,3,0,2015,56.00239,-164.56741,93,4.7,163,"BB"
"Chionoecetes bairdi",1,48,5,2,0,2015,56.00239,-164.56741,93,4.7,163,"BB"
"Chionoecetes bairdi",1,108,23,3,0,2015,56.00239,-164.56741,93,4.7,163,"BB"
"Chionoecetes bairdi",1,77,13,3,0,2015,56.00239,-164.56741,93,4.7,163,"BB"
"Chionoecetes bairdi",1,88,16,3,0,2015,56.00239,-164.56741,93,4.7,163,"BB"
"Chionoecetes bairdi",1,104,20,3,0,2015,55.99015,-165.16083,97,4.5,163,"BB"
"Chionoecetes bairdi",1,109,20,3,0,2015,55.99015,-165.16083,97,4.5,163,"BB"
"Chionoecetes bairdi",1,107,19,2,0,2015,55.99015,-165.16083,97,4.5,163,"BB"
"Chionoecetes bairdi",1,100,16,3,0,2015,55.99015,-165.16083,97,4.5,163,"BB"
"Chionoecetes bairdi",1,59,7,2,0,2015,55.99015,-165.16083,97,4.5,163,"BB"
"Chionoecetes bairdi",1,94,19,3,0,2015,55.99015,-165.16083,97,4.5,163,"BB"
